Gene_Symbol	Selected_Probe_ID	GSM249671	GSM249672	GSM249673	GSM249674	GSM249675	GSM249676	GSM249677	GSM249678	GSM249679	GSM249680
C21orf91	226109_at	9.073125667	7.296345744	9.712084856	9.230117259	9.641743078	8.812809388	9.557364696	9.597506674	9.086935826	8.501340645
C21orf91-OT1	1560633_a_at	4.590953766	3.163432067	3.240591778	2.90182994	3.037414269	3.04175916	2.44144407	3.025697971	3.707119324	2.740599145
C22orf15	1558333_at	4.960619321	3.630217709	4.235406958	2.918415826	3.055344249	3.775788684	3.099416036	3.340370548	3.394295975	4.239019352
C22orf23	223706_at	3.304195199	3.548839007	3.548839007	3.730900823	3.854730609	3.989074916	3.336599328	3.659910822	3.819135279	3.548839007
C22orf24	207701_at	3.011157514	3.692347303	3.190685444	3.363291918	3.553925041	3.681699814	3.407848401	3.053332562	3.775344658	3.136021352
C22orf29 /// GNB1L	226204_at	6.67600962	5.102245835	6.835599451	5.114914243	5.908937796	4.685555424	5.928962954	5.192606977	7.434157098	5.643094055
C22orf31	206839_at	3.777916999	4.725661	3.185214163	3.708367939	3.875374609	3.775788684	4.136781841	3.604087953	3.889005067	3.687024025
C22orf34	235839_at	4.367889904	5.390310482	3.937064148	4.698919708	4.464727997	4.634227722	4.428117403	3.964441652	4.70641169	4.758556535
C22orf39	1553974_at	6.080830661	5.725299967	6.067781469	5.837485933	6.859219785	5.863122542	5.396581851	6.479047759	6.483461514	6.894235997
C22orf42	1555990_at	1.988941982	2.306204855	1.917833542	1.731773472	2.115282764	1.949748933	1.764781154	1.953825822	1.795769204	1.636649766
C22orf46	219309_at	4.302419673	4.617858487	3.835862259	4.244290649	3.720473741	4.034198479	4.352968817	4.019123598	3.829209773	3.788973974
C2CD2	212875_s_at	6.922726155	6.817125057	6.947395844	7.151534885	7.548174589	6.282662622	6.221078121	6.786645014	7.717450804	6.559981545
C2CD2L	204757_s_at	6.245115752	6.287103452	5.467997572	5.142833052	6.337521523	5.642967595	5.762873734	5.836732659	7.245929619	5.096127162
C2CD3	36552_at	7.831430471	6.366314857	8.169898899	8.138491513	8.35348761	7.942608219	8.439381856	7.263591026	7.830111143	6.658308539
C2CD4A	241031_at	2.073280205	2.007053253	1.892410245	1.674458919	3.031174485	3.977603444	1.937987697	2.096014625	1.96089479	1.587854401
C2CD4B	229727_x_at	6.143526826	7.178215598	5.8137585	6.112842223	6.141567234	6.50148014	6.226175822	6.194056621	6.700050332	6.565475186
C2CD4C	230819_at	4.482125951	5.288869424	4.612691324	4.598293619	4.148044678	4.919969162	4.338555451	4.904596998	5.676767418	4.98588482
C2CD5	212943_at	7.677248731	7.784233813	8.08597648	9.050534409	9.012892134	8.386096655	8.769520779	8.583377383	8.7917762	8.528436569
C2orf15	1552740_at	4.647470394	3.078162498	2.925220784	2.311179633	2.794489692	2.571173508	3.467554288	2.830575169	3.069031552	2.672110684
C2orf16	224000_at	3.013964582	3.813274468	3.385055952	2.975366362	3.242463794	3.283534606	2.968032272	3.045570186	3.859457765	3.191933999
C2orf27A	242418_at	2.902655732	5.983038979	5.729645606	7.104309598	5.456617494	5.451248692	5.766473478	5.980519402	4.239488098	6.200590897
C2orf40	223623_at	3.751278876	3.582669055	3.598194902	5.891901142	2.830618527	2.988954375	6.766200863	5.527990774	5.548547142	7.706247794
C2orf42	219128_at	6.906710349	5.12997636	5.892911678	6.180075956	6.188876079	5.532904358	6.739374619	6.675400111	6.327899773	6.345807239
C2orf43	219008_at	4.285673396	3.174274864	5.060277388	5.105809401	4.2376203	3.480331824	3.340573807	3.720003047	3.34279056	4.012511753
C2orf44	219120_at	6.70212184	5.906568047	5.621508981	5.165654739	6.177305897	5.372998813	5.435334964	5.929712771	5.678685228	5.671956189
C2orf47	219176_at	7.958045968	7.69840154	8.830758475	7.729622497	8.040366662	7.384756165	8.874650213	7.901556586	8.126637253	7.909646441
C2orf49	219662_at	8.198593544	7.283470695	8.250502809	7.359254082	7.574894651	6.665822817	7.291922853	7.846220209	6.863081432	7.91448314
C2orf50	1563814_at	3.864658217	3.203955829	3.071838002	3.195437669	3.540787662	2.753276738	3.585503047	2.893599198	4.026812676	3.244946957
C2orf54	220149_at	2.811253231	2.71715306	5.407392313	2.736967776	3.413219749	2.970800556	3.133531278	3.070576703	2.796382896	2.865864834
