Sample_ID	Location	Sample
GSM363914	Epithelium	102
GSM363917	Stroma	102
GSM363920	Epithelium	121
GSM363923	Stroma	121
GSM363933	Epithelium	148
GSM363935	Stroma	148
GSM363937	Epithelium	153
GSM363939	Stroma	153
GSM363941	Epithelium	169
GSM363943	Stroma	169
GSM363958	Epithelium	44
GSM363961	Stroma	44
GSM363963	Epithelium	45
GSM363966	Stroma	45
GSM363968	Epithelium	79
GSM363971	Stroma	79
GSM363974	Epithelium	96
GSM363977	Stroma	96
