Gene.Symbol,GSM775184,GSM775185,GSM775190,GSM775191,GSM775224,GSM775225,GSM775249,GSM775250,GSM775258,GSM775259,GSM775264,GSM775265,GSM775270,GSM775271,GSM775275,GSM775279,GSM775286,GSM775287
ABCB11,6.234385204,6.229551778,6.075927051,6.281067629,6.131537012,6.259028376,6.041895439,6.208844186,6.211841972,6.192708645,6.136844734,6.081975269,6.067111204,6.196247427,6.455963839,6.18024694,6.117758824,6.157484983
ABCB4,6.173176815,6.695402309,6.218387705,7.312380193,6.252191394,6.25626984,6.199083173,6.648479824,6.744216272,7.766720372,6.072679934,6.735408447,6.262827567,6.808168785,6.6050864,7.13029564,6.241723322,6.445204267
ABCB5,6.157753157,6.137320306,6.386865771,6.204432639,6.439994733,6.208278846,6.046755582,6.19365447,6.170543625,6.310193226,6.155964722,6.106677043,6.025660721,6.090434489,6.113619454,6.08498097,6.149294936,6.234868577
ABCB6,9.531414213,9.828557328,10.44102069,8.898577506,9.068151093,10.04626458,8.077427277,9.978721898,7.8775547,8.377198381,8.902307878,9.987612207,8.608179035,9.390199702,10.76223751,9.596337187,9.166650177,8.771934754
ABCB7,9.440041508,8.716921638,8.971782067,8.701118596,9.385364164,9.370020824,9.591858718,9.387785143,9.450044531,8.989638027,8.756584676,8.558440612,9.512443401,9.102878025,8.389108153,8.861245749,10.1237593,9.506500985
ABCB8,6.323079447,6.268576058,6.263054881,6.564860866,6.521283679,6.448554273,6.254284883,6.280010348,6.339413388,6.392213167,6.176422314,6.339638748,6.162224339,6.285630997,6.337521111,6.271817448,6.13934977,6.288709595
ABCB9,6.169153554,6.228739629,6.409132246,6.416356905,6.470891151,6.586014533,6.161895138,6.171902342,6.158206536,6.38252927,6.142630316,6.134099957,6.147645961,6.171902342,6.679549066,6.180397932,6.243579786,6.161127851
ABCC1,6.149754638,5.92660935,6.073450088,6.072342728,6.366568588,6.019296933,6.032232011,6.078262909,6.153076307,6.011886271,6.102427391,6.046596264,6.279569911,6.253339416,6.163165795,6.109440173,6.087840863,6.258752948
ABCC10,8.233732787,7.900683894,8.336701138,8.102415107,8.442036966,8.335327822,8.156431001,7.607770454,8.443314072,7.894058633,9.457138289,8.335779339,7.743187756,7.96860344,8.42899867,8.519081082,8.343293219,8.210669883
ABCC11,6.634243442,6.358732948,6.969166611,6.757149957,7.423878981,7.311503115,6.578189706,6.501820151,6.506247749,6.562635486,7.119343726,6.676521302,6.602665168,6.519236331,6.4648352,6.7394566,6.765124952,6.483096346
ABCC12,5.992797203,5.972097764,6.116494514,6.136510304,6.086713931,6.171440037,5.928081044,6.087977452,6.101962649,6.175564321,6.260687931,6.216728982,5.900364011,6.111949194,6.060377963,6.14352138,6.173241989,5.956183301
ABCC13,6.512000855,6.394117435,6.714448855,6.429565754,6.460476702,6.633468847,6.415393959,6.489536192,6.389122612,6.344009649,6.657204101,6.392997905,6.446845431,6.380454658,6.817074469,6.895044455,6.406556908,6.292323289
ABCC2,6.534991165,6.755322917,6.348923215,6.152807667,6.28609584,6.235427041,6.261957054,6.132686028,6.4648352,6.289554897,6.692941836,6.383252408,7.2362429,6.351820348,6.371224809,6.644583125,7.065091879,6.480924591
ABCC3,10.64716788,9.362941475,10.36801202,10.26285828,11.43147776,10.52993219,11.47202467,9.749248483,11.92242756,9.636406931,10.17180354,10.17180354,9.81413589,9.240341761,8.458229008,9.998266034,10.24197719,10.1379671
ABCC4,7.615851771,9.538967409,6.745633992,9.875180453,9.97808692,10.41837867,10.0164225,10.22246769,9.453505233,7.534747977,10.10889423,9.912822887,9.202289883,8.836293099,9.973614145,9.425511757,7.871448184,8.694721084
ABCC5,10.26428894,11.19089198,10.56433148,10.90262534,9.762194484,10.86600771,9.379237123,10.55837766,11.26548026,10.28848776,11.17570236,11.53846444,9.975786362,9.803282745,10.03519912,10.65539119,9.944416465,10.19000859
ABCC6,6.759273035,6.717524264,6.444060406,6.578321965,6.478471465,6.757149957,6.602232377,6.436932364,6.57056099,6.379009891,6.718747937,6.42162373,6.598239089,6.367671421,6.394479501,6.755138616,6.388224846,6.415393959
ABCC8,6.11066955,6.25298175,6.087592042,6.239533422,7.16274277,7.373734332,6.925739568,6.380666599,6.243233214,5.994916374,6.209465453,6.094964202,6.299939531,6.761963372,6.247610845,6.077952634,6.125918648,6.118821293
